Match Number,Venue,Team 1,Team 2,Score 1,Score 2,Winner
37,"Sawai Mansingh Stadium,  Jaipur",RR,CSK,202/5 (20 ov),170/6 (20 ov),Rajasthan Royals won by 32 runs.
36,"M.Chinnaswamy Stadium,  Bengaluru",KKR,RCB,200/5 (20 ov),179/8 (20 ov),Kolkata Knight Riders won by 21 runs.
35,"Narendra Modi Stadium,  Ahmedabad",GT,MI,207/6 (20 ov),152/9 (20 ov),Gujarat Titans won by 55 runs.
34,"Rajiv Gandhi International Stadium,  Uppal,  Hyderabad",DC,SRH,144/9 (20 ov),137/6 (20 ov),Delhi Capitals won by 7 runs.
33,"Eden Gardens,  Kolkata",CSK,KKR,235/4 (20 ov),186/8 (20 ov),Chennai Super Kings won by 49 runs.
32,"M.Chinnaswamy Stadium,  Bengaluru",RCB,RR,189/9 (20 ov),182/6 (20 ov),Royal Challengers Bangalore won by 7 runs.
31,"Wankhede Stadium,  Mumbai",PBKS,MI,214/8 (20 ov),201/6 (20 ov),Punjab Kings won by 13 runs.
30,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,  Lucknow",GT,LSG,135/6 (20 ov),128/7 (20 ov),Gujarat Titans won by 7 runs.
29,"MA Chidambaram Stadium,  Chennai",SRH,CSK,134/7 (20 ov),138/3 (18.4 ov),Chennai Super Kings won by 7 wickets
28,"Arun Jaitley Stadium,  Delhi",KKR,DC,127/10 (20 ov),128/6 (19.2 ov),Delhi Capitals won by 4 wickets
27,"Punjab Cricket Association IS Bindra Stadium,  Mohali,  Chandigarh",RCB,PBKS,174/4 (20 ov),150/10 (18.2 ov),Royal Challengers Bangalore won by 24 runs.
26,"Sawai Mansingh Stadium,  Jaipur",LSG,RR,154/7 (20 ov),144/6 (20 ov),Lucknow Super Giants won by 10 runs.
25,"Rajiv Gandhi International Stadium,  Uppal,  Hyderabad",MI,SRH,192/5 (20 ov),178/10 (19.5 ov),Mumbai Indians won by 14 runs.
24,"M.Chinnaswamy Stadium,  Bengaluru",CSK,RCB,226/6 (20 ov),218/8 (20 ov),Chennai Super Kings won by 8 runs.
23,"Narendra Modi Stadium,  Ahmedabad",GT,RR,177/7 (20 ov),179/7 (19.2 ov),Rajasthan Royals won by 3 wickets
22,"Wankhede Stadium,  Mumbai",KKR,MI,185/6 (20 ov),186/5 (17.4 ov),Mumbai Indians won by 5 wickets
21,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,  Lucknow",LSG,PBKS,159/8 (20 ov),161/8 (19.3 ov),Punjab Kings won by 2 wickets
20,"M.Chinnaswamy Stadium,  Bengaluru",RCB,DC,174/6 (20 ov),151/9 (20 ov),Royal Challengers Bangalore won by 23 runs.
19,"Eden Gardens,  Kolkata",SRH,KKR,228/4 (20 ov),205/7 (20 ov),Sunrisers Hyderabad won by 23 runs.
18,"Punjab Cricket Association IS Bindra Stadium,  Mohali,  Chandigarh",PBKS,GT,153/8 (20 ov),154/4 (19.5 ov),Gujarat Titans won by 6 wickets
17,"MA Chidambaram Stadium,  Chennai",RR,CSK,175/8 (20 ov),172/6 (20 ov),Rajasthan Royals won by 3 runs.
16,"Arun Jaitley Stadium,  Delhi",DC,MI,172/10 (19.4 ov),173/4 (20 ov),Mumbai Indians won by 6 wickets
15,"M.Chinnaswamy Stadium,  Bengaluru",RCB,LSG,212/2 (20 ov),213/9 (20 ov),Lucknow Super Giants won by 1 wickets
14,"Rajiv Gandhi International Stadium,  Uppal,  Hyderabad",PBKS,SRH,143/9 (20 ov),145/2 (17.1 ov),Sunrisers Hyderabad won by 8 wickets
13,"Narendra Modi Stadium,  Ahmedabad",GT,KKR,204/4 (20 ov),207/7 (20 ov),Kolkata Knight Riders won by 3 wickets
12,"Wankhede Stadium,  Mumbai",MI,CSK,157/8 (20 ov),159/3 (18.1 ov),Chennai Super Kings won by 7 wickets
11,"Barsapara Cricket Stadium,  Guwahati",RR,DC,199/4 (20 ov),142/9 (20 ov),Rajasthan Royals won by 57 runs.
10,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,  Lucknow",SRH,LSG,121/8 (20 ov),127/5 (16 ov),Lucknow Super Giants won by 5 wickets
9,"Eden Gardens,  Kolkata",KKR,RCB,204/7 (20 ov),123/10 (17.4 ov),Kolkata Knight Riders won by 81 runs.
8,"Barsapara Cricket Stadium,  Guwahati",PBKS,RR,197/4 (20 ov),192/7 (20 ov),Punjab Kings won by 5 runs.
7,"Arun Jaitley Stadium,  Delhi",DC,GT,162/8 (20 ov),163/4 (18.1 ov),Gujarat Titans won by 6 wickets
6,"MA Chidambaram Stadium,  Chennai",CSK,LSG,217/7 (20 ov),205/7 (20 ov),Chennai Super Kings won by 12 runs.
5,"M.Chinnaswamy Stadium,  Bengaluru",MI,RCB,171/7 (20 ov),172/2 (16.2 ov),Royal Challengers Bangalore won by 8 wickets
4,"Rajiv Gandhi International Stadium,  Uppal,  Hyderabad",RR,SRH,203/5 (20 ov),131/8 (20 ov),Rajasthan Royals won by 72 runs.
3,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,  Lucknow",LSG,DC,193/6 (20 ov),143/9 (20 ov),Lucknow Super Giants won by 50 runs.
2,"Punjab Cricket Association IS Bindra Stadium,  Mohali,  Chandigarh",PBKS,KKR,191/5 (20 ov),146/7 (16 ov),Punjab Kings won by 7 runs (DLS Method).
1,"Narendra Modi Stadium,  Ahmedabad",CSK,GT,178/7 (20 ov),182/5 (19.2 ov),Gujarat Titans won by 5 wickets
